City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.9712971448898315,2.5919382592901252,32414762.0,0.8378124237060547
DE_BILT,temp_min,2.560305595397949,3.144323344495405,1956673.2,0.710981547832489
DE_BILT,temp_max,2.4332962036132812,3.1335335755449285,57.695686,0.8253200054168701
DUSSELDORF,temp_mean,2.3862078189849854,3.1467468417454807,1597820.1,0.7970440983772278
DUSSELDORF,temp_min,2.753113269805908,3.757442464077076,101.545944,0.6681981682777405
DUSSELDORF,temp_max,2.829444408416748,3.6500211950235433,58.835518,0.7973935604095459
MAASTRICHT,temp_mean,2.3046844005584717,2.984615136516358,3256030.0,0.8143515586853027
MAASTRICHT,temp_min,2.469299793243408,3.2643707641130018,571209.94,0.7279257774353027
MAASTRICHT,temp_max,2.793250799179077,3.5482034086131593,70.28641,0.8039069175720215
MUENCHEN,temp_mean,2.6089024543762207,3.268637112187126,963910.94,0.839587926864624
MUENCHEN,temp_min,2.2991011142730713,2.979104866151548,8815401.0,0.832807719707489
MUENCHEN,temp_max,3.480722665786743,4.3643516655060095,63.492714,0.7876746654510498
OSLO,temp_mean,2.0902976989746094,2.767348964467202,5736865.0,0.8907991647720337
OSLO,temp_min,2.4083518981933594,3.1242128525239723,174.17496,0.8343323469161987
OSLO,temp_max,2.3960251808166504,3.080462812107912,429399.8,0.898999810218811
