City,Target,XGB_MAE,LSTM_MAE,XGB_RMSE,LSTM_RMSE,XGB_R2,LSTM_R2,Winner
DE_BILT,temp_mean,1.5084288322762267,1.9776791334152222,1.9140327950572111,2.6020848205252665,0.9115562866900694,0.836540162563324,XGBoost
DE_BILT,temp_min,2.0018208676168365,2.5705721378326416,2.5132893136140435,3.1960522977443584,0.8153470894698739,0.701393723487854,XGBoost
DE_BILT,temp_max,1.8686467400642288,2.269524097442627,2.357672697485439,3.0223639107507867,0.9011124588228511,0.8374944925308228,XGBoost
DUSSELDORF,temp_mean,1.6098813328677664,2.3280649185180664,2.1095037214245096,3.0455519713678725,0.9087908040501586,0.8098877668380737,XGBoost
DUSSELDORF,temp_min,2.1193933250479504,2.7257049083709717,2.8224138277984583,3.6825868883001758,0.8127872293438746,0.6812868118286133,XGBoost
DUSSELDORF,temp_max,2.072417991324647,2.8124196529388428,2.607703277530153,3.55738865434829,0.896586131250198,0.807546854019165,XGBoost
MAASTRICHT,temp_mean,1.6475515558948257,2.3643717765808105,2.1848717480268016,3.0548225236402753,0.9005129438056646,0.8055147528648376,XGBoost
MAASTRICHT,temp_min,1.7963836455671753,2.4937095642089844,2.435384380551114,3.25335007181187,0.8485659688149638,0.729759693145752,XGBoost
MAASTRICHT,temp_max,2.1179631050318886,2.84942364692688,2.667477013576809,3.5932188221998707,0.889172739361919,0.79889976978302,XGBoost
MUENCHEN,temp_mean,1.6249880477173688,2.5634310245513916,2.094170780563786,3.167785714502768,0.9341542286260449,0.8493340015411377,XGBoost
MUENCHEN,temp_min,1.526033215849367,2.24173903465271,1.9855730064128068,2.90697921300384,0.9257294947276391,0.8408052921295166,XGBoost
MUENCHEN,temp_max,2.458900884340887,3.4602324962615967,3.1589508043980445,4.2928112441960335,0.8887633004108645,0.7945784330368042,XGBoost
OSLO,temp_mean,1.4661983367188336,2.1034414768218994,1.9137752998377018,2.7523109089746103,0.9477748049195291,0.8919827342033386,XGBoost
OSLO,temp_min,1.4388868561836137,2.392627239227295,1.8631739619187573,3.090638416596732,0.9410799232140685,0.8378739356994629,XGBoost
OSLO,temp_max,2.0236774196363476,2.5240368843078613,2.5148998137107004,3.1692874670832922,0.932681936272128,0.8930912017822266,XGBoost
